county_code,county,office,district,party,candidate,votes,pct
38,Lake,President,,DFL,Al Gore,3579,55.11
38,Lake,President,,GP,Ralph Nader,426,6.56
38,Lake,President,,LIB,Harry Browne,12,0.18
38,Lake,President,,R,George W. Bush,2465,37.96
38,Lake,President,,RP,Pat Buchanan,12,0.18
38,Lake,U.S. Senate,,DFL,Mark Dayton,3731,58.19
38,Lake,U.S. Senate,,IND,Jim Gibson,190,2.96
38,Lake,U.S. Senate,,R,Rod Grams,2491,38.85
39,Lake of the Woods,President,,DFL,Al Gore,848,39.50
39,Lake of the Woods,President,,GP,Ralph Nader,74,3.45
39,Lake of the Woods,President,,LIB,Harry Browne,4,0.19
39,Lake of the Woods,President,,R,George W. Bush,1216,56.64
39,Lake of the Woods,President,,RP,Pat Buchanan,5,0.23
39,Lake of the Woods,U.S. Senate,,DFL,Mark Dayton,1001,46.84
39,Lake of the Woods,U.S. Senate,,IND,Jim Gibson,51,2.39
39,Lake of the Woods,U.S. Senate,,R,Rod Grams,1085,50.77
40,Le Sueur,President,,DFL,Al Gore,5361,44.19
40,Le Sueur,President,,GP,Ralph Nader,603,4.97
40,Le Sueur,President,,LIB,Harry Browne,19,0.16
40,Le Sueur,President,,R,George W. Bush,6138,50.59
40,Le Sueur,President,,RP,Pat Buchanan,11,0.09
40,Le Sueur,U.S. Senate,,DFL,Mark Dayton,5479,45.39
40,Le Sueur,U.S. Senate,,IND,Jim Gibson,628,5.20
40,Le Sueur,U.S. Senate,,R,Rod Grams,5964,49.41
41,Lincoln,President,,DFL,Al Gore,1590,49.44
41,Lincoln,President,,GP,Ralph Nader,105,3.26
41,Lincoln,President,,LIB,Harry Browne,6,0.19
41,Lincoln,President,,R,George W. Bush,1513,47.05
41,Lincoln,President,,RP,Pat Buchanan,2,0.06
41,Lincoln,U.S. Senate,,DFL,Mark Dayton,1629,50.59
41,Lincoln,U.S. Senate,,IND,Jim Gibson,95,2.95
41,Lincoln,U.S. Senate,,R,Rod Grams,1496,46.46
42,Lyon,President,,DFL,Al Gore,4737,41.88
42,Lyon,President,,GP,Ralph Nader,460,4.07
42,Lyon,President,,LIB,Harry Browne,17,0.15
42,Lyon,President,,R,George W. Bush,6087,53.81
42,Lyon,President,,RP,Pat Buchanan,10,0.09
42,Lyon,U.S. Senate,,DFL,Mark Dayton,5221,46.70
42,Lyon,U.S. Senate,,IND,Jim Gibson,434,3.88
42,Lyon,U.S. Senate,,R,Rod Grams,5525,49.42
44,Mahnomen,President,,DFL,Al Gore,921,42.86
44,Mahnomen,President,,GP,Ralph Nader,96,4.47
44,Mahnomen,President,,LIB,Harry Browne,5,0.23
44,Mahnomen,President,,R,George W. Bush,1122,52.21
44,Mahnomen,President,,RP,Pat Buchanan,5,0.23
44,Mahnomen,U.S. Senate,,DFL,Mark Dayton,1161,53.63
44,Mahnomen,U.S. Senate,,IND,Jim Gibson,56,2.59
44,Mahnomen,U.S. Senate,,R,Rod Grams,948,43.79
45,Marshall,President,,DFL,Al Gore,1910,38.27
45,Marshall,President,,GP,Ralph Nader,160,3.21
45,Marshall,President,,LIB,Harry Browne,5,0.10
45,Marshall,President,,R,George W. Bush,2912,58.35
45,Marshall,President,,RP,Pat Buchanan,4,0.08
45,Marshall,U.S. Senate,,DFL,Mark Dayton,2510,49.23
45,Marshall,U.S. Senate,,IND,Jim Gibson,106,2.08
45,Marshall,U.S. Senate,,R,Rod Grams,2482,48.69
46,Martin,President,,DFL,Al Gore,4166,40.64
46,Martin,President,,GP,Ralph Nader,376,3.67
46,Martin,President,,LIB,Harry Browne,6,0.06
46,Martin,President,,R,George W. Bush,5686,55.47
46,Martin,President,,RP,Pat Buchanan,16,0.16
46,Martin,U.S. Senate,,DFL,Mark Dayton,4631,45.32
46,Martin,U.S. Senate,,IND,Jim Gibson,414,4.05
46,Martin,U.S. Senate,,R,Rod Grams,5173,50.63
43,McLeod,President,,DFL,Al Gore,5609,37.08
43,McLeod,President,,GP,Ralph Nader,681,4.50
43,McLeod,President,,LIB,Harry Browne,30,0.20
43,McLeod,President,,R,George W. Bush,8782,58.06
43,McLeod,President,,RP,Pat Buchanan,23,0.15
43,McLeod,U.S. Senate,,DFL,Mark Dayton,5921,39.36
43,McLeod,U.S. Senate,,IND,Jim Gibson,894,5.94
43,McLeod,U.S. Senate,,R,Rod Grams,8228,54.70
61,Meeker,President,,DFL,Al Gore,2771,47.31
61,Meeker,President,,GP,Ralph Nader,264,4.51
61,Meeker,President,,LIB,Harry Browne,8,0.14
61,Meeker,President,,R,George W. Bush,2808,47.94
61,Meeker,President,,RP,Pat Buchanan,6,0.10
61,Meeker,U.S. Senate,,DFL,Mark Dayton,2942,49.87
61,Meeker,U.S. Senate,,IND,Jim Gibson,304,5.15
61,Meeker,U.S. Senate,,R,Rod Grams,2653,44.97
47,Mille Lacs,President,,DFL,Al Gore,4402,42.10
47,Mille Lacs,President,,GP,Ralph Nader,517,4.94
47,Mille Lacs,President,,LIB,Harry Browne,8,0.08
47,Mille Lacs,President,,R,George W. Bush,5520,52.79
47,Mille Lacs,President,,RP,Pat Buchanan,9,0.09
47,Mille Lacs,U.S. Senate,,DFL,Mark Dayton,4595,44.05
47,Mille Lacs,U.S. Senate,,IND,Jim Gibson,552,5.29
47,Mille Lacs,U.S. Senate,,R,Rod Grams,5284,50.66
48,Morrison,President,,DFL,Al Gore,4376,43.43
48,Morrison,President,,GP,Ralph Nader,448,4.45
48,Morrison,President,,LIB,Harry Browne,20,0.20
48,Morrison,President,,R,George W. Bush,5223,51.84
48,Morrison,President,,RP,Pat Buchanan,9,0.09
48,Morrison,U.S. Senate,,DFL,Mark Dayton,4457,44.43
48,Morrison,U.S. Senate,,IND,Jim Gibson,598,5.96
48,Morrison,U.S. Senate,,R,Rod Grams,4976,49.61
49,Mower,President,,DFL,Al Gore,5274,37.28
49,Mower,President,,GP,Ralph Nader,633,4.47
49,Mower,President,,LIB,Harry Browne,24,0.17
49,Mower,President,,R,George W. Bush,8197,57.94
49,Mower,President,,RP,Pat Buchanan,19,0.13
49,Mower,U.S. Senate,,DFL,Mark Dayton,6185,43.19
49,Mower,U.S. Senate,,IND,Jim Gibson,645,4.50
49,Mower,U.S. Senate,,R,Rod Grams,7489,52.30
50,Murray,President,,DFL,Al Gore,10693,58.47
50,Murray,President,,GP,Ralph Nader,678,3.71
50,Murray,President,,LIB,Harry Browne,31,0.17
50,Murray,President,,R,George W. Bush,6873,37.58
50,Murray,President,,RP,Pat Buchanan,13,0.07
50,Murray,U.S. Senate,,DFL,Mark Dayton,10997,60.87
50,Murray,U.S. Senate,,IND,Jim Gibson,445,2.46
50,Murray,U.S. Senate,,R,Rod Grams,6624,36.67
51,Nicollet,President,,DFL,Al Gore,2093,44.90
51,Nicollet,President,,GP,Ralph Nader,149,3.20
